model,threshold,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
random_forest,0.63,0.5882352941176471,0.9523809523809523,0.7272727272727274,0.6369426751592356,0.985,2,28,40,1930,42,0.5882352941176471,0.0010351966873706005,0.9989648033126294
random_forest,0.65,0.5882352941176471,0.9523809523809523,0.7272727272727274,0.6369426751592356,0.985,2,28,40,1930,42,0.5882352941176471,0.0010351966873706005,0.9989648033126294
random_forest,0.67,0.5735294117647058,0.9512195121951219,0.7155963302752294,0.6230031948881789,0.9845,2,29,39,1930,41,0.5735294117647058,0.0010351966873706005,0.9989648033126294
random_forest,0.69,0.5441176470588235,0.9487179487179487,0.6915887850467289,0.594855305466238,0.9835,2,31,37,1930,39,0.5441176470588235,0.0010351966873706005,0.9989648033126294
random_forest,0.71,0.5,0.9444444444444444,0.6538461538461539,0.551948051948052,0.982,2,34,34,1930,36,0.5,0.0010351966873706005,0.9989648033126294
random_forest,0.73,0.47058823529411764,0.9411764705882353,0.627450980392157,0.5228758169934641,0.981,2,36,32,1930,34,0.47058823529411764,0.0010351966873706005,0.9989648033126294
random_forest,0.75,0.47058823529411764,0.9411764705882353,0.627450980392157,0.5228758169934641,0.981,2,36,32,1930,34,0.47058823529411764,0.0010351966873706005,0.9989648033126294
random_forest,0.77,0.4264705882352941,0.9354838709677419,0.5858585858585859,0.47854785478547857,0.9795,2,39,29,1930,31,0.4264705882352941,0.0010351966873706005,0.9989648033126294
random_forest,0.79,0.4117647058823529,0.9333333333333333,0.5714285714285713,0.46357615894039733,0.979,2,40,28,1930,30,0.4117647058823529,0.0010351966873706005,0.9989648033126294
random_forest,0.81,0.35294117647058826,0.9230769230769231,0.5106382978723405,0.40268456375838924,0.977,2,44,24,1930,26,0.35294117647058826,0.0010351966873706005,0.9989648033126294
random_forest,0.83,0.3382352941176471,0.92,0.49462365591397855,0.3872053872053872,0.9765,2,45,23,1930,25,0.3382352941176471,0.0010351966873706005,0.9989648033126294
random_forest,0.85,0.3088235294117647,1.0,0.4719101123595506,0.3583617747440273,0.9765,0,47,21,1932,21,0.3088235294117647,0.0,1.0
random_forest,0.87,0.23529411764705882,1.0,0.38095238095238093,0.2777777777777778,0.974,0,52,16,1932,16,0.23529411764705882,0.0,1.0
random_forest,0.89,0.17647058823529413,1.0,0.3,0.2112676056338028,0.972,0,56,12,1932,12,0.17647058823529413,0.0,1.0
random_forest,0.91,0.14705882352941177,1.0,0.25641025641025644,0.1773049645390071,0.971,0,58,10,1932,10,0.14705882352941177,0.0,1.0
random_forest,0.93,0.11764705882352941,1.0,0.21052631578947367,0.14285714285714285,0.97,0,60,8,1932,8,0.11764705882352941,0.0,1.0
random_forest,0.95,0.08823529411764706,1.0,0.1621621621621622,0.1079136690647482,0.969,0,62,6,1932,6,0.08823529411764706,0.0,1.0
random_forest,0.97,0.029411764705882353,1.0,0.05714285714285715,0.0364963503649635,0.967,0,66,2,1932,2,0.029411764705882353,0.0,1.0
